Attack,Attack_Cost,Attack_Perm,AttackSpeed,AttackSpeed_Cost,AttackSpeed_Perm,CriticalChance,CriticalChance_Cost,CriticalChance_Perm,CriticalDamage,CriticalDamage_Cost,CriticalDamage_Perm,AttackRange,AttackRange_Cost,AttackRange_Perm,Health,Health_Cost,Health_Perm,Regeneration,Regeneration_Cost,Regeneration_Perm,Defense,Defense_Cost,Defense_Perm,Reflection,Reflection_Cost,Reflection_Perm,LifeSteal,LifeSteal_Cost,LifeSteal_Perm,GoldMultiplier,GoldMultiplier_Cost,GoldMultiplier_Perm,GoldPerWave,GoldPerWave_Cost,GoldPerWave_Perm,CoinMultiplier,CoinMultiplier_Cost,CoinMultiplier_Perm,CoinPerWave,CoinPerWave_Cost,CoinPerWave_Perm,,,
39,57,676,1.5,87,676,11,70,828,2.2,67,828,35,102,828,84,57,676,1.29,57,676,11.2,56,696,10,99,721,0.93,99,721,1.1,67,676,40,93,676,1.1,67,1014,11,141,1014,,,
43,66,798,1.55,103,798,12,83,980,2.3,77,980,35.5,118,980,98,66,798,1.58,66,798,12.72,65,818,11,114,851,1.02,114,851,1.11,77,798,44,108,798,1.11,77,1212,12,166,1212,,,
48,76,931,1.6,122,931,13,97,1150,2.4,88,1150,36,135,1150,115,76,931,1.91,76,931,14.33,75,951,12,132,995,1.1,132,995,1.12,88,931,48,125,931,1.12,88,1433,13,194,1433,,,
52,87,1078,1.65,142,1078,14,112,1336,2.5,101,1336,36.5,154,1336,134,87,1078,2.28,87,1078,16.05,86,1098,13,150,1155,1.18,150,1155,1.13,101,1078,52,144,1078,1.13,101,1679,14,224,1679,,,
57,99,1237,1.7,163,1237,15,128,1540,2.6,114,1540,37,174,1540,154,99,1237,2.68,99,1237,17.88,98,1257,14,170,1330,1.26,170,1330,1.14,114,1237,56,164,1237,1.14,114,1951,15,256,1951,,,
62,111,1410,1.75,186,1410,16,146,1763,2.7,128,1763,37.5,195,1763,176,111,1410,3.12,111,1410,19.82,111,1430,15,192,1522,1.34,192,1522,1.15,128,1410,60,186,1410,1.15,128,2250,16,291,2250,,,
67,125,1597,1.8,211,1597,17,166,2005,2.8,143,2005,38,218,2005,202,125,1597,3.61,125,1597,21.89,124,1617,16,214,1731,1.42,214,1731,1.16,143,1597,64,210,1597,1.16,143,2577,17,329,2577,,,
73,139,1798,1.85,238,1798,18,186,2267,2.9,159,2267,38.5,242,2267,229,139,1798,4.14,139,1798,24.09,139,1818,17,239,1958,1.5,239,1958,1.17,159,1798,68,236,1798,1.17,159,2934,18,370,2934,,,
78,154,2014,1.9,267,2014,19,208,2550,3,176,2550,39,267,2550,259,154,2014,4.64,154,2014,26.43,154,2034,18,265,2205,1.58,265,2205,1.18,176,2014,72,264,2014,1.18,176,3322,19,413,3322,,,
84,171,2245,1.95,297,2245,20,231,2854,3.1,194,2854,39.5,294,2854,292,171,2245,5.21,171,2245,28.91,171,2265,19,292,2470,1.65,292,2470,1.19,194,2245,76,294,2245,1.19,194,3741,20,459,3741,,,
90,188,2491,2,329,2491,21,255,3180,3.2,213,3180,40,323,3180,328,188,2491,5.8,188,2491,31.55,188,2511,20,321,2756,1.73,321,2756,1.2,213,2491,80,326,2491,1.2,213,4194,21,508,4194,,,
96,206,2754,2.05,363,2754,22,281,3528,3.3,233,3528,40.5,352,3528,367,206,2754,6.43,206,2754,34.35,206,2774,21,352,3063,1.8,352,3063,1.21,233,2754,84,360,2754,1.21,233,4681,22,560,4681,,,
102,225,3033,2.1,398,3033,23,309,3900,3.4,254,3900,41,384,3900,409,225,3033,7.09,225,3033,37.31,226,3053,22,384,3392,1.87,384,3392,1.22,254,3033,88,397,3033,1.22,254,5204,23,615,5204,,,
108,244,3328,2.15,436,3328,24,337,4296,3.5,276,4296,41.5,417,4296,453,244,3328,7.79,244,3328,40.46,246,3348,23,418,3743,1.94,418,3743,1.23,276,3328,92,436,3328,1.23,276,5764,24,673,5764,,,
115,265,3642,2.2,475,3642,25,367,4717,3.6,299,4717,42,451,4717,502,265,3642,8.51,265,3642,43.78,267,3662,24,453,4117,2.01,453,4117,1.24,299,3642,96,477,3642,1.24,299,6362,25,734,6362,,,
121,287,3973,2.25,517,3973,26,399,5163,3.7,323,5163,42.5,487,5163,553,287,3973,9.27,287,3973,47.3,290,3993,25,490,4515,2.08,490,4515,1.25,323,3973,100,521,3973,1.25,323,7000,26,798,7000,,,
128,310,4322,2.3,560,4322,27,432,5636,3.8,349,5636,43,524,5636,608,310,4322,10.06,310,4322,51.02,313,4342,26,529,4937,2.15,529,4937,1.26,349,4322,104,567,4322,1.26,349,7678,27,865,7678,,,
135,333,4690,2.35,605,4690,28,466,6135,3.9,375,6135,43.5,563,6135,668,333,4690,10.89,333,4690,54.94,338,4710,27,570,5385,2.22,570,5385,1.27,375,4690,108,616,4690,1.27,375,8398,28,936,8398,,,
142,358,5077,2.4,652,5077,29,502,6662,4,402,6662,44,603,6662,731,358,5077,11.74,358,5077,59.08,364,5097,28,612,5859,2.28,612,5859,1.28,402,5077,112,667,5077,1.28,402,9161,29,1009,9161,,,
149,384,5483,2.45,701,5483,30,540,7218,4.1,430,7218,44.5,645,7218,799,384,5483,12.63,384,5483,63.43,391,5503,29,656,6359,2.35,656,6359,1.29,430,5483,116,722,5483,1.29,430,9969,30,1086,9969,,,
156,410,5909,2.5,752,5909,31,579,7802,4.2,460,7802,45,688,7802,870,410,5909,13.55,410,5909,68.02,419,5929,30,702,6887,2.41,702,6887,1.3,460,5909,120,778,5909,1.3,460,10822,31,1167,10822,,,
164,438,6356,2.55,805,6356,32,619,8416,4.3,490,8416,45.5,733,8416,946,438,6356,14.51,438,6356,72.84,448,6376,31,750,7443,2.47,750,7443,1.31,490,6356,124,838,6356,1.31,490,11722,32,1251,11722,,,
171,466,6824,2.6,860,6824,33,661,9060,4.4,522,9060,46,780,9060,1027,466,6824,15.49,466,6824,77.9,479,6844,32,800,8029,2.53,800,8029,1.32,522,6824,128,901,6824,1.32,522,12670,33,1338,12670,,,
179,496,7312,2.65,917,7312,34,705,9735,4.5,554,9735,46.5,828,9735,1112,496,7312,16.51,496,7312,83.21,510,7332,33,851,8643,2.59,851,8643,1.33,554,7312,132,966,7312,1.33,554,13667,34,1429,13667,,,
187,527,7823,2.7,976,7823,35,750,10442,4.6,588,10442,47,878,10442,1201,527,7823,17.57,527,7823,88.79,543,7843,34,904,9288,2.65,904,9288,1.34,588,7823,136,1035,7823,1.34,588,14715,35,1524,14715,,,
195,558,8355,2.75,1037,8355,36,797,11182,4.7,623,11182,47.5,929,11182,1296,558,8355,18.65,558,8355,94.62,577,8375,35,960,9964,2.71,960,9964,1.35,623,8355,140,1106,8355,1.35,623,15814,36,1622,15814,,,
204,591,8911,2.8,1101,8911,37,846,11954,4.8,659,11954,48,982,11954,1396,591,8911,19.77,591,8911,100,613,8931,36,1017,10672,2.77,1017,10672,1.36,659,8911,144,1181,8911,1.36,659,16966,37,1724,16966,,,
212,624,9489,2.85,1166,9489,38,896,12761,4.9,696,12761,48.5,1038,12761,1501,624,9489,20.92,624,9489,107,650,9509,37,1076,11413,2.82,1076,11413,1.37,696,9489,148,1259,9489,1.37,696,18173,38,1829,18173,,,
221,659,10090,2.9,1234,10090,39,948,13602,5,734,13602,49,1095,13602,1611,659,10090,22.1,659,10090,113,688,10110,38,1138,12187,2.88,1138,12187,1.38,734,10090,152,1340,10090,1.38,734,19435,39,1939,19435,,,
229,695,10715,2.95,1304,10715,40,1001,14478,5.1,773,14478,49.5,1153,14478,1726,695,10715,23.32,695,10715,120,727,10735,39,1201,12994,2.93,1201,12994,1.39,773,10715,156,1425,10715,1.39,773,20753,40,2052,20753,,,
238,732,11365,3,1376,11365,41,1056,15390,5.2,813,15390,50,1213,15390,1847,732,11365,24.56,732,11365,128,768,11385,40,1266,13837,2.99,1266,13837,1.4,813,11365,160,1513,11365,1.4,813,22130,41,2169,22130,,,
247,769,12039,3.05,1450,12039,42,1113,16338,5.3,855,16338,50.5,1275,16338,1974,769,12039,25.84,769,12039,135,810,12059,41,1333,14714,3.04,1333,14714,1.41,855,12039,164,1604,12039,1.41,855,23566,42,2290,23566,,,
256,808,12738,3.1,1526,12738,43,1172,17324,5.4,897,17324,51,1339,17324,2107,808,12738,27.16,808,12738,143,854,12758,42,1403,15628,3.09,1403,15628,1.42,897,12738,168,1699,12738,1.42,897,25062,43,2415,25062,,,
266,848,13463,3.15,1605,13463,44,1232,18348,5.5,941,18348,51.5,1404,18348,2245,848,13463,28.5,848,13463,151,899,13483,43,1475,16579,3.14,1475,16579,1.43,941,13463,172,1797,13463,1.43,941,26619,44,2544,26619,,,
275,889,14214,3.2,1685,14214,45,1294,19411,5.6,986,19411,52,1471,19411,2390,889,14214,29.88,889,14214,160,945,14234,44,1548,17567,3.19,1548,17567,1.44,986,14214,176,1900,14214,1.44,986,28240,45,2678,28240,,,
285,931,14992,3.25,1769,14992,46,1358,20513,5.7,1033,20513,52.5,1540,20513,2541,931,14992,31.29,931,14992,169,993,15012,45,1624,18594,3.24,1624,18594,1.45,1033,14992,180,2005,14992,1.45,1033,29924,46,2815,29924,,,
295,974,15796,3.3,1854,15796,47,1424,21655,5.8,1080,21655,53,1611,21655,2698,974,15796,32.74,974,15796,178,1043,15816,46,1702,19659,3.29,1702,19659,1.46,1080,15796,184,2115,15796,1.46,1080,31674,47,2957,31674,,,
305,1019,16628,3.35,1942,16628,48,1491,22838,5.9,1129,22838,53.5,1684,22838,2862,1019,16628,34.21,1019,16628,188,1093,16648,47,1783,20765,3.33,1783,20765,1.47,1129,16628,188,2228,16628,1.47,1129,33490,48,3103,33490,,,
315,1064,17487,3.4,2032,17487,49,1560,24063,6,1179,24063,54,1758,24063,3032,1064,17487,35.72,1064,17487,198,1146,17507,48,1865,21910,3.38,1865,21910,1.48,1179,17487,192,2346,17487,1.48,1179,35374,49,3253,35374,,,
325,1111,18374,3.45,2124,18374,50,1631,25329,6.1,1230,25329,54.5,1835,25329,3209,1111,18374,37.26,1111,18374,208,1200,18394,49,1950,23097,3.43,1950,23097,1.49,1230,18374,196,2467,18374,1.49,1230,37327,50,3408,37327,,,
336,1158,19291,3.5,2219,19291,51,1704,26639,6.2,1282,26639,55,1913,26639,3393,1158,19291,38.84,1158,19291,219,1255,19311,50,2037,24326,3.47,2037,24326,1.5,1282,19291,200,2592,19291,1.5,1282,39350,51,3567,39350,,,
346,1207,20236,3.55,2316,20236,52,1779,27992,6.3,1336,27992,55.5,1993,27992,3584,1207,20236,40.44,1207,20236,230,1312,20256,51,2127,25598,3.51,2127,25598,1.51,1336,20236,204,2721,20236,1.51,1336,41445,52,3731,41445,,,
357,1257,21210,3.6,2416,21210,53,1856,29389,6.4,1390,29389,56,2075,29389,3783,1257,21210,42.08,1257,21210,241,1371,21230,52,2219,26913,3.56,2219,26913,1.52,1390,21210,208,2855,21210,1.52,1390,43612,53,3899,43612,,,
368,1308,22215,3.65,2518,22215,54,1934,30832,6.5,1446,30832,56.5,2159,30832,3988,1308,22215,43.75,1308,22215,253,1431,22235,53,2313,28272,3.6,2313,28272,1.53,1446,22215,212,2993,22215,1.53,1446,45853,54,4072,45853,,,
379,1360,23250,3.7,2622,23250,55,2015,32320,6.6,1504,32320,57,2245,32320,4201,1360,23250,45.46,1360,23250,265,1493,23270,54,2409,29675,3.64,2409,29675,1.54,1504,23250,216,3135,23250,1.54,1504,48169,55,4249,48169,,,
390,1413,24315,3.75,2729,24315,56,2097,33854,6.7,1562,33854,57.5,2333,33854,4422,1413,24315,47.19,1413,24315,278,1557,24335,55,2508,31125,3.68,2508,31125,1.55,1562,24315,220,3281,24315,1.55,1562,50562,56,4431,50562,,,
401,1468,25412,3.8,2839,25412,57,2182,35435,6.8,1622,35435,58,2423,35435,4650,1468,25412,48.96,1468,25412,291,1622,25432,56,2610,32620,3.72,2610,32620,1.56,1622,25412,224,3432,25412,1.56,1622,53032,57,4618,53032,,,
413,1523,26541,3.85,2951,26541,58,2268,37064,6.9,1683,37064,58.5,2515,37064,4886,1523,26541,50.77,1523,26541,305,1689,26561,57,2714,34162,3.76,2714,34162,1.57,1683,26541,228,3587,26541,1.57,1683,55581,58,4810,55581,,,
425,1580,27701,3.9,3065,27701,59,2357,38742,7,1745,38742,59,2609,38742,5131,1580,27701,52.6,1580,27701,319,1757,27721,58,2820,35753,3.8,2820,35753,1.58,1745,27701,232,3746,27701,1.58,1745,58210,59,5006,58210,,,
436,1638,28894,3.95,3182,28894,60,2447,40468,7.1,1809,40468,59.5,2705,40468,5383,1638,28894,54.47,1638,28894,333,1828,28914,59,2929,37391,3.83,2929,37391,1.59,1809,28894,236,3911,28894,1.59,1809,60921,60,5208,60921,,,
448,1697,30120,4,3302,30120,61,2539,42245,7.2,1874,42245,60,2803,42245,5643,1697,30120,56.37,1697,30120,348,1900,30140,60,3040,39079,3.87,3040,39079,1.6,1874,30120,240,4079,30120,1.6,1874,63714,61,5414,63714,,,
460,1757,31380,4.05,3424,31380,62,2634,44072,7.3,1940,44072,60.5,2903,44072,5912,1757,31380,58.3,1757,31380,363,1974,31400,61,3154,40816,3.91,3154,40816,1.61,1940,31380,244,4253,31380,1.61,1940,66591,62,5625,66591,,,
473,1819,32673,4.1,3549,32673,63,2730,45950,7.4,2008,45950,61,3005,45950,6190,1819,32673,60.27,1819,32673,379,2050,32693,62,3271,42604,3.94,3271,42604,1.62,2008,32673,248,4431,32673,1.62,2008,69552,63,5842,69552,,,
485,1881,34000,4.15,3676,34000,64,2829,47880,7.5,2077,47880,61.5,3109,47880,6476,1881,34000,62.26,1881,34000,396,2127,34020,63,3390,44444,3.98,3390,44444,1.63,2077,34000,252,4615,34000,1.63,2077,72600,64,6063,72600,,,
498,1945,35363,4.2,3806,35363,65,2929,49863,7.6,2147,49863,62,3215,49863,6771,1945,35363,64.29,1945,35363,412,2206,35383,64,3512,46335,4.01,3512,46335,1.64,2147,35363,256,4803,35363,1.64,2147,75736,65,6290,75736,,,
511,2010,36760,4.25,3939,36760,66,3032,51899,7.7,2219,51899,62.5,3323,51899,7074,2010,36760,66.36,2010,36760,430,2288,36780,65,3636,48279,4.04,3636,48279,1.65,2219,36760,260,4996,36760,1.65,2219,78960,66,6522,78960,,,
523,2077,38193,4.3,4074,38193,67,3137,53989,7.8,2292,53989,63,3434,53989,7387,2077,38193,68.45,2077,38193,447,2371,38213,66,3764,50277,4.08,3764,50277,1.66,2292,38193,264,5194,38193,1.66,2292,82274,67,6759,82274,,,
536,2144,39661,4.35,4213,39661,68,3244,56133,7.9,2366,56133,63.5,3546,56133,7709,2144,39661,70.58,2144,39661,466,2456,39681,67,3894,52329,4.11,3894,52329,1.67,2366,39661,268,5397,39661,1.67,2366,85679,68,7001,85679,,,
550,2213,41166,4.4,4353,41166,69,3353,58333,8,2442,58333,64,3661,58333,8041,2213,41166,72.74,2213,41166,484,2542,41186,68,4026,54435,4.14,4026,54435,1.68,2442,41166,272,5605,41166,1.68,2442,89177,69,7249,89177,,,
563,2283,42708,4.45,4497,42708,70,3464,60590,8.1,2519,60590,64.5,3778,60590,8381,2283,42708,74.94,2283,42708,504,2631,42728,69,4162,56597,4.17,4162,56597,1.69,2519,42708,276,5819,42708,1.69,2519,92768,70,7503,92768,,,
577,2354,44288,4.5,4643,44288,71,3578,62902,8.2,2597,62902,65,3897,62902,8732,2354,44288,77.16,2354,44288,523,2722,44308,70,4300,58816,4.2,4300,58816,1.7,2597,44288,280,6038,44288,1.7,2597,96454,71,7761,96454,,,
590,2427,45905,4.55,4793,45905,72,3694,65273,8.3,2677,65273,65.5,4018,65273,9092,2427,45905,79.42,2427,45905,544,2815,45925,71,4441,61092,4.23,4441,61092,1.71,2677,45905,284,6262,45905,1.71,2677,100236,72,8026,100236,,,
604,2501,47560,4.6,4945,47560,73,3812,67701,8.4,2758,67701,66,4142,67701,9462,2501,47560,81.71,2501,47560,565,2909,47580,72,4585,63425,4.26,4585,63425,1.72,2758,47560,288,6491,47560,1.72,2758,104115,73,8296,104115,,,
618,2576,49254,4.65,5099,49254,74,3932,70189,8.5,2841,70189,66.5,4268,70189,9842,2576,49254,84.04,2576,49254,586,3006,49274,73,4731,65817,4.28,4731,65817,1.73,2841,49254,292,6726,49254,1.73,2841,108093,74,8571,108093,,,
632,2652,50986,4.7,5257,50986,75,4054,72736,8.6,2925,72736,67,4396,72736,10232,2652,50986,86.39,2652,50986,608,3105,51006,74,4881,68269,4.31,4881,68269,1.74,2925,50986,296,6967,50986,1.74,2925,112171,75,8853,112171,,,
646,2730,52758,4.75,5418,52758,76,4179,75343,8.7,3010,75343,67.5,4526,75343,10633,2730,52758,88.78,2730,52758,631,3206,52778,75,5033,70780,4.34,5033,70780,1.75,3010,52758,300,7213,52758,1.75,3010,116350,76,9140,116350,,,
661,2809,54570,4.8,5581,54570,77,4306,78011,8.8,3097,78011,68,4658,78011,11044,2809,54570,91.2,2809,54570,654,3308,54590,76,5189,73352,4.36,5189,73352,1.76,3097,54570,304,7465,54570,1.76,3097,120631,77,9432,120631,,,
675,2889,56423,4.85,5747,56423,78,4435,80741,8.9,3186,80741,68.5,4793,80741,11465,2889,56423,93.66,2889,56423,677,3413,56443,77,5347,75985,4.39,5347,75985,1.77,3186,56423,308,7722,56423,1.77,3186,125015,78,9731,125015,,,
690,2971,58316,4.9,5916,58316,79,4566,83533,9,3275,83533,69,4930,83533,11897,2971,58316,96.14,2971,58316,702,3520,58336,78,5508,78681,4.41,5508,78681,1.78,3275,58316,312,7985,58316,1.78,3275,129504,79,10036,129504,,,
705,3053,60250,4.95,6088,60250,80,4700,86389,9.1,3367,86389,69.5,5070,86389,12340,3053,60250,98.66,3053,60250,727,3629,60270,79,5672,81439,4.44,5672,81439,1.79,3367,60250,316,8254,60250,1.79,3367,134099,80,10346,134099,,,
720,3138,62226,5,6264,62226,,,,9.2,3459,89308,70,5211,89308,12794,3138,62226,101.22,3138,62226,752,3741,62246,80,5840,84261,4.46,5840,84261,1.8,3459,62226,320,8529,62226,1.8,3459,138801,81,10662,138801,,,
735,3223,64244,5.05,6442,64244,,,,9.3,3553,92291,70.5,5355,92291,13259,3223,64244,103.8,3223,64244,778,3854,64264,81,6010,87147,,,,1.81,3553,64244,324,8810,64244,1.81,3553,143612,82,10985,143612,,,
751,3310,66305,5.1,6623,66305,,,,9.4,3649,95340,71,5502,95340,13735,3310,66305,106.42,3310,66305,805,3970,66325,82,6184,90098,,,,1.82,3649,66305,328,9097,66305,1.82,3649,148532,83,11314,148532,,,
766,3398,68408,5.15,6807,68408,,,,9.5,3746,98454,71.5,5651,98454,14222,3398,68408,109.07,3398,68408,832,4088,68428,83,6360,93115,,,,1.83,3746,68408,332,9391,68408,1.83,3746,153563,84,11649,153563,,,
782,3487,70555,5.2,6994,70555,,,,9.6,3845,101635,72,5802,101635,14721,3487,70555,111.75,3487,70555,860,4208,70575,84,6540,96198,,,,1.84,3845,70555,336,9690,70555,1.84,3845,158707,85,11990,158707,,,
798,3578,72745,5.25,7184,72745,,,,9.7,3945,104883,72.5,5956,104883,15232,3578,72745,114.47,3578,72745,889,4330,72765,85,6723,99349,,,,1.85,3945,72745,340,9995,72745,1.85,3945,163963,86,12337,163963,,,
814,3670,74980,5.3,7377,74980,,,,9.8,4047,108199,73,6112,108199,15754,3670,74980,117.21,3670,74980,918,4455,75000,86,6909,102567,,,,1.86,4047,74980,344,10307,74980,1.86,4047,169334,87,12691,169334,,,
830,3764,77259,5.35,7574,77259,,,,9.9,4150,111583,73.5,6270,111583,16289,3764,77259,120,3764,77259,948,4581,77279,87,7098,105854,,,,1.87,4150,77259,348,10625,77259,1.87,4150,174821,88,13051,174821,,,
846,3859,79583,5.4,7773,79583,,,,10,4255,115037,74,6431,115037,16835,3859,79583,122.81,3859,79583,979,4711,79603,88,7291,109211,,,,1.88,4255,79583,352,10950,79583,1.88,4255,180425,89,13417,180425,,,
863,3955,81953,5.45,7976,81953,,,,10.1,4361,118561,74.5,6595,118561,17393,3955,81953,125.65,3955,81953,1010,4842,81973,89,7486,112637,,,,1.89,4361,81953,356,11281,81953,1.89,4361,186147,90,13790,186147,,,
879,4053,84369,5.5,8182,84369,,,,10.2,4469,122156,75,6761,122156,17964,4053,84369,128.53,4053,84369,1042,4976,84389,90,7685,116135,,,,1.9,4469,84369,360,11618,84369,1.9,4469,191989,91,14169,191989,,,
896,4152,86832,5.55,8390,86832,,,,10.3,4578,125822,75.5,6929,125822,18547,4152,86832,131.44,4152,86832,1074,5112,86852,91,7887,119703,,,,1.91,4578,86832,364,11962,86832,1.91,4578,197951,92,14555,197951,,,
913,4252,89341,5.6,8603,89341,,,,10.4,4689,129560,76,7100,129560,19143,4252,89341,134.39,4252,89341,1107,5251,89361,92,8093,123344,,,,1.92,4689,89341,368,12313,89341,1.92,4689,204035,93,14948,204035,,,
930,4354,91897,5.65,8818,91897,,,,10.5,4801,133370,76.5,7273,133370,19751,4354,91897,137.36,4354,91897,1141,5392,91917,93,8302,127058,,,,1.93,4801,91897,372,12671,91897,1.93,4801,210243,94,15347,210243,,,
947,4458,94501,5.7,9036,94501,,,,10.6,4915,137255,77,7449,137255,20372,4458,94501,140.37,4458,94501,1176,5535,94521,94,8514,130846,,,,1.94,4915,94501,376,13035,94501,1.94,4915,216575,95,15753,216575,,,
964,4562,97153,5.75,9258,97153,,,,10.7,5031,141213,77.5,7628,141213,21007,4562,97153,143.41,4562,97153,1211,5681,97173,95,8730,134708,,,,1.95,5031,97153,380,13406,97153,1.95,5031,223032,96,16166,223032,,,
982,4668,99854,5.8,9483,99854,,,,10.8,5148,145246,78,7809,145246,21654,4668,99854,146.49,4668,99854,1248,5829,99874,96,8949,138645,,,,1.96,5148,99854,384,13784,99854,1.96,5148,229617,97,16586,229617,,,
1000,4776,102603,5.85,9712,102603,,,,10.9,5267,149355,78.5,7993,149355,22315,4776,102603,149.59,4776,102603,1284,5980,102623,97,9172,142658,,,,1.97,5267,102603,388,14169,102603,1.97,5267,236329,98,17013,236329,,,
1017,4885,105403,5.9,9943,105403,,,,11,5387,153540,79,8179,153540,22989,4885,105403,152.73,4885,105403,1322,6133,105423,98,9398,146748,,,,1.98,5387,105403,392,14561,105403,1.98,5387,243171,99,17446,243171,,,
1035,4995,108251,5.95,10178,108251,,,,11.1,5509,157802,79.5,8368,157802,23676,4995,108251,155,4995,108251,1360,6289,108271,99,9627,150915,,,,1.99,5509,108251,396,14960,108251,1.99,5509,250144,100,17887,250144,,,
1054,5107,111151,6,10417,111151,,,,11.2,5633,162142,,,,24377,5107,111151,159,5107,111151,1399,6447,111171,,,,,,,2,5633,111151,400,15367,111151,2,5633,257248,101,18334,257248,,,
1072,5221,114101,,,,,,,11.3,5758,166560,,,,25092,5221,114101,162,5221,114101,1439,6608,114121,,,,,,,2.01,5758,114101,404,15780,114101,2.01,5758,264485,102,18789,264485,,,
1090,5335,117102,,,,,,,11.4,5885,171057,,,,25821,5335,117102,165,5335,117102,1480,6771,117122,,,,,,,2.02,5885,117102,408,16201,117102,2.02,5885,271857,103,19251,271857,,,
1109,5452,120154,,,,,,,11.5,6013,175634,,,,26563,5452,120154,168,5452,120154,1521,6937,120174,,,,,,,2.03,6013,120154,412,16629,120154,2.03,6013,279364,104,19720,279364,,,
1128,5569,123259,,,,,,,11.6,6144,180291,,,,27320,5569,123259,172,5569,123259,1563,7106,123279,,,,,,,2.04,6144,123259,416,17065,123259,2.04,6144,287007,105,20197,287007,,,
1147,5689,126416,,,,,,,11.7,6275,185029,,,,28092,5689,126416,175,5689,126416,1606,7277,126436,,,,,,,2.05,6275,126416,420,17508,126416,2.05,6275,294789,106,20680,294789,,,
1166,5809,129626,,,,,,,11.8,6409,189849,,,,28878,5809,129626,179,5809,129626,1650,7451,129646,,,,,,,2.06,6409,129626,424,17958,129626,2.06,6409,302710,107,21171,302710,,,
1185,5932,132890,,,,,,,11.9,6544,194752,,,,29678,5932,132890,182,5932,132890,1694,7628,132910,,,,,,,2.07,6544,132890,428,18417,132890,2.07,6544,310771,108,21670,310771,,,
1204,6055,136207,,,,,,,12,6681,199738,,,,30493,6055,136207,185,6055,136207,1740,7807,136227,,,,,,,2.08,6681,136207,432,18882,136207,2.08,6681,318975,109,22176,318975,,,
1224,6181,139578,,,,,,,12.1,6820,204808,,,,31323,6181,139578,189,6181,139578,1786,7989,139598,,,,,,,2.09,6820,139578,436,19356,139578,2.09,6820,327320,110,22689,327320,,,
1243,6307,143004,,,,,,,12.2,6960,209962,,,,32168,6307,143004,192,6307,143004,1833,8174,143024,,,,,,,2.1,6960,143004,440,19838,143004,2.1,6960,335810,111,23210,335810,,,
1263,6436,146485,,,,,,,12.3,7102,215202,,,,33028,6436,146485,196,6436,146485,1881,8361,146505,,,,,,,2.11,7102,146485,444,20327,146485,2.11,7102,344446,112,23739,344446,,,
