HP,Damage
43.88K,2.07K
44.35K,2.09K
44.83K,2.11K
45.63K,2.15K
46.12K,2.18K
46.61K,2.20K
47.10K,2.22K
47.60K,2.24K
54.84K,2.42K
55.41K,2.45K
55.99K,2.47K
56.57K,2.50K
57.15K,2.52K
58.10K,2.56K
58.69K,2.59K
59.29K,2.61K
59.89K,2.64K
60.49K,2.66K
64.12K,2.75K
64.76K,2.78K
65.41K,2.80K
66.05K,2.83K
69.08K,2.88K
70.18K,2.93K
74.61K,2.99K
75.33K,3.02K
76.06K,3.04K
76.79K,3.07K
78.54K,3.15K
79.29K,3.18K
80.04K,3.21K
80.80K,3.24K
81.56K,3.27K
83.51K,3.33K
84.29K,3.36K
85.07K,3.39K
85.86K,3.42K
86.65K,3.45K
88.57K,3.54K
89.37K,3.57K
90.18K,3.60K
91.00K,3.63K
91.82K,3.66K
93.16K,3.72K
94.00K,3.75K
94.83K,3.78K
95.67K,3.82K
96.51K,3.85K
105.52K,3.96K
120.28K,4.12K
121.33K,4.15K
122.38K,4.18K
123.44K,4.22K
125.18K,4.28K
126.25K,4.32K
127.33K,4.35K
128.41K,4.39K
137.00K,4.47K
142.35K,4.62K
143.55K,4.66K
144.75K,4.69K
145.96K,4.73K
147.17K,4.77K
149.15K,4.84K
150.38K,4.87K
151.61K,4.91K
152.85K,4.95K
154.09K,4.99K
157.13K,5.10K
158.40K,5.14K
159.67K,5.18K
160.95K,5.22K
162.24K,5.26K
164.36K,5.34K
165.66K,5.37K
166.97K,5.42K
168.28K,5.46K
169.60K,5.50K
178.91K,5.65K
180.30K,5.69K
181.70K,5.73K
183.11K,5.77K
184.52K,5.81K
188.24K,5.92K
189.68K,5.96K
191.12K,6.00K
213.76K,6.05K
215.38K,6.09K
219.39K,6.22K
221.04K,6.27K
235.22K,6.38K
236.97K,6.42K
238.73K,6.47K
241.64K,6.55K
243.42K,6.60K
245.21K,6.64K
258.55K,6.76K
260.44K,6.80K
265.05K,6.95K
266.98K,7.00K
268.91K,7.04K
270.85K,7.09K
272.79K,7.14K
276.00K,7.23K
277.97K,7.28K
279.95K,7.33K
281.93K,7.38K
283.92K,7.43K
323.61K,7.74K
325.88K,7.79K
328.16K,7.84K
330.45K,7.89K
332.75K,7.94K
336.50K,8.04K
338.82K,8.10K
341.15K,8.15K
343.49K,8.20K
345.84K,8.25K
351.57K,8.42K
353.96K,8.47K
356.36K,8.53K
358.76K,8.58K
361.18K,8.64K
365.15K,8.74K
367.59K,8.80K
370.04K,8.85K
372.50K,8.91K
374.97K,8.97K
381.05K,9.14K
395.34K,9.29K
397.94K,9.35K
400.54K,9.41K
403.15K,9.46K
410.00K,9.61K
412.65K,9.67K
415.32K,9.73K
418.00K,9.79K
420.69K,9.85K
442.26K,10.09K
445.08K,10.15K
531.96K,10.62K
535.34K,10.68K
538.73K,10.75K
544.29K,10.87K
547.72K,10.94K
551.16K,11.00K
554.60K,11.07K
558.06K,11.13K
566.56K,11.34K
570.08K,11.41K
573.60K,11.47K
577.14K,11.54K
580.69K,11.61K
586.56K,11.74K
590.14K,11.81K
593.74K,11.88K
597.35K,11.94K
600.97K,12.01K
618.26K,12.33K
621.99K,12.40K
625.73K,12.47K
629.48K,12.54K
633.24K,12.61K
639.46K,12.75K
643.26K,12.82K
647.07K,12.90K
650.90K,12.97K
654.73K,13.04K
737.88K,13.47K
742.20K,13.55K
746.54K,13.62K
750.89K,13.70K
838.34K,13.77K
846.32K,13.92K
851.21K,14.00K
856.12K,14.07K
861.04K,14.15K
865.98K,14.23K
878.15K,14.47K
883.16K,14.55K
888.19K,14.63K
893.23K,14.71K
898.28K,14.79K
911.60K,14.99K
962.18K,15.22K
967.58K,15.30K
973.00K,15.38K
978.43K,15.46K
991.75K,15.73K
997.26K,15.81K
1.00M,15.89K
1.01M,15.98K
1.01M,16.06K
1.02M,16.23K
1.03M,16.31K
1.03M,16.40K
1.04M,16.48K
1.05M,16.56K
1.10M,16.93K
1.10M,17.01K
1.11M,17.10K
1.11M,17.19K
1.12M,17.27K
1.13M,17.45K
1.14M,17.54K
1.14M,17.63K
1.15M,17.71K
1.15M,17.80K
1.35M,19.18K
1.36M,19.27K
1.36M,19.37K
1.37M,19.46K
1.38M,19.56K
1.39M,19.75K
1.40M,19.85K
1.40M,19.95K
1.41M,20.04K
1.42M,20.14K
1.44M,20.46K
1.44M,20.56K
1.45M,20.66K
1.46M,20.76K
1.47M,20.86K
1.55M,21.28K
1.56M,21.38K
1.74M,21.48K
1.74M,21.58K
1.75M,21.69K
1.89M,22.14K
1.90M,22.24K
1.91M,22.35K
1.92M,22.45K
1.93M,22.56K
1.95M,22.84K
1.96M,22.94K
1.97M,23.05K
2.04M,23.39K
2.05M,23.50K
2.07M,23.86K
2.08M,23.97K
2.17M,24.32K
2.18M,24.43K
2.20M,24.55K
2.21M,24.77K
2.22M,24.89K
2.23M,25.00K
2.24M,25.11K
2.26M,25.23K
2.28M,25.61K
2.29M,25.73K
2.30M,25.84K
2.32M,25.96K
2.33M,26.08K
2.34M,26.31K
2.36M,26.43K
2.37M,26.55K
2.38M,26.67K
2.39M,26.79K
2.53M,27.50K
2.54M,27.62K
2.55M,27.74K
2.56M,27.87K
2.58M,27.99K
2.60M,28.24K
2.61M,28.36K
2.62M,28.49K
2.63M,28.61K
2.64M,28.73K
2.67M,29.15K
2.69M,29.28K
2.70M,29.40K
2.71M,29.53K
2.72M,29.66K
2.74M,29.92K
2.76M,30.05K
2.77M,30.18K
2.78M,30.30K
2.79M,30.43K
2.95M,31.18K
2.97M,31.31K
2.98M,31.44K
2.99M,31.57K
3.01M,31.71K
3.04M,32.06K
3.06M,32.20K
3.07M,32.33K
3.08M,32.47K
3.10M,32.60K
3.33M,33.23K
3.34M,33.36K
3.79M,34.51K
3.81M,34.65K
3.83M,34.79K
3.85M,35.09K
3.87M,35.23K
3.89M,35.38K
3.91M,35.52K
3.92M,35.67K
3.96M,36.16K
3.98M,36.30K
4.00M,36.45K
4.02M,36.60K
4.03M,36.75K
4.06M,37.05K
4.08M,37.20K
4.10M,37.35K
4.30M,37.88K
4.31M,38.03K
4.53M,38.94K
4.54M,39.10K
4.56M,39.25K
4.58M,39.41K
4.77M,39.96K
4.81M,40.29K
4.83M,40.44K
4.85M,40.60K
4.87M,40.76K
4.89M,40.92K
5.11M,41.67K
5.13M,41.84K
5.15M,42.00K
5.17M,42.16K
5.20M,42.33K
5.23M,42.67K
5.25M,42.83K
5.27M,43.00K
5.29M,43.16K
5.32M,43.33K
5.37M,43.90K
5.39M,44.06K
5.41M,44.23K
5.44M,44.40K
5.46M,44.57K
5.51M,45.03K
5.54M,45.20K
5.56M,45.37K
5.58M,45.55K
5.60M,45.72K
5.66M,46.30K
5.68M,46.48K
5.70M,46.65K
5.73M,46.83K
5.75M,47.00K
5.94M,47.84K
5.96M,48.02K
5.99M,48.20K
6.01M,48.38K
6.04M,48.56K
6.47M,49.42K
6.50M,49.60K
6.53M,49.78K
6.55M,49.97K
6.58M,50.15K
6.62M,50.53K
7.37M,50.72K
7.40M,50.90K
7.43M,51.09K
7.46M,51.27K
7.60M,52.21K
7.63M,52.40K
7.66M,52.59K
7.69M,52.78K
7.72M,52.97K
7.76M,53.36K
8.65M,53.55K
8.68M,53.75K
8.72M,53.94K
8.75M,54.13K
8.83M,54.80K
8.87M,54.99K
8.90M,55.19K
8.93M,55.38K
9.35M,56.14K
9.41M,56.55K
9.45M,56.75K
9.48M,56.95K
9.52M,57.15K
9.55M,57.35K
9.98M,58.33K
10.02M,58.54K
10.05M,58.74K
10.09M,58.95K
10.13M,59.15K
10.23M,59.72K
10.63M,60.52K
10.67M,60.73K
10.71M,60.94K
10.75M,61.15K
10.85M,61.88K
11.35M,62.71K
11.39M,62.93K
11.43M,63.15K
11.47M,63.36K
11.54M,63.82K
11.58M,64.03K
11.62M,64.25K
11.66M,64.47K
11.71M,64.69K
11.81M,65.45K
11.85M,65.67K
11.89M,65.89K
11.94M,66.11K
11.98M,66.34K
12.05M,66.80K
12.09M,67.03K
12.14M,67.25K
12.18M,67.48K
12.22M,67.70K
14.07M,71.15K
14.12M,71.38K
14.17M,71.62K
14.22M,71.86K
14.27M,72.10K
14.36M,72.59K
14.41M,72.83K
14.46M,73.07K
14.51M,73.31K
14.56M,73.56K
14.68M,74.39K
14.73M,74.63K
14.78M,74.88K
14.83M,75.12K
14.88M,75.37K
14.97M,75.88K
15.02M,76.12K
15.07M,76.37K
15.12M,76.62K
15.18M,76.87K
15.30M,77.73K
15.36M,77.98K
15.41M,78.23K
15.46M,78.48K
15.51M,78.73K
15.65M,79.42K
15.70M,79.68K
15.76M,79.93K
15.81M,80.19K
15.86M,80.44K
16.56M,81.73K
16.61M,81.99K
16.67M,82.25K
16.72M,82.51K
16.78M,82.77K
16.87M,83.32K
16.93M,83.58K
16.98M,83.84K
17.04M,84.11K
17.10M,84.37K
17.24M,85.29K
17.30M,85.56K
17.79M,86.68K
17.85M,86.95K
17.91M,87.22K
18.01M,87.79K
18.07M,88.06K
18.13M,88.33K
18.82M,89.49K
18.88M,89.77K
19.18M,91.18K
19.24M,91.46K
19.30M,91.74K
19.36M,92.02K
19.43M,92.30K
19.53M,92.89K
19.59M,93.18K
19.66M,93.46K
20.54M,94.68K
20.60M,94.97K
22.03M,96.45K
22.10M,96.75K
22.18M,97.04K
22.25M,97.33K
26.24M,101.56K
26.38M,102.20K
26.46M,102.51K
26.55M,102.82K
26.63M,103.13K
26.72M,103.43K
26.92M,104.52K
27.01M,104.83K
27.09M,105.14K
27.18M,105.45K
27.26M,105.76K
27.49M,106.64K
27.57M,106.95K
27.66M,107.27K
27.75M,107.58K
27.83M,107.90K
28.05M,109.02K
28.13M,109.34K
28.22M,109.66K
28.31M,109.98K
28.40M,110.30K
28.54M,110.98K
28.63M,111.30K
28.72M,111.63K
28.81M,111.95K
28.90M,112.28K
30.13M,113.99K
30.23M,114.32K
30.32M,114.65K
30.41M,114.98K
30.50M,115.31K
34.03M,116.02K
34.13M,116.35K
34.24M,116.68K
34.34M,117.02K
34.45M,117.35K
35.85M,119.46K
35.96M,119.80K
36.07M,120.14K
36.18M,120.48K
36.29M,120.83K
36.47M,121.55K
36.58M,121.90K
36.69M,122.24K
36.80M,122.59K
36.91M,122.93K
37.18M,124.15K
37.29M,124.50K
37.40M,124.85K
37.51M,125.20K
37.63M,125.55K
37.81M,126.30K
37.92M,126.65K
38.03M,127.00K
38.15M,127.36K
38.26M,127.71K
42.26M,130.90K
42.39M,131.27K
42.51M,131.63K
48.18M,135.96K
48.32M,136.33K
48.69M,137.38K
48.83M,137.76K
48.98M,138.14K
54.52M,138.52K
54.68M,138.90K
55.07M,140.25K
55.23M,140.63K
55.39M,141.02K
55.56M,141.40K
55.72M,141.79K
55.98M,142.61K
56.14M,142.99K
56.31M,143.38K
56.47M,143.77K
56.63M,144.16K
57.03M,145.54K
57.19M,145.93K
57.36M,146.33K
57.52M,146.72K
57.69M,147.12K
57.96M,147.96K
58.12M,148.35K
60.60M,150.24K
60.77M,150.64K
62.45M,152.55K
65.50M,155.44K
65.69M,155.86K
68.49M,157.83K
68.69M,158.25K
68.88M,158.67K
69.20M,159.57K
69.39M,159.99K
69.59M,160.41K
69.78M,160.84K
69.98M,161.26K
70.46M,162.77K
70.66M,163.20K
70.85M,163.62K
71.05M,164.05K
71.25M,164.48K
71.57M,165.40K
71.77M,165.83K
71.97M,166.26K
72.17M,166.70K
72.37M,167.13K
72.86M,168.68K
73.06M,169.11K
73.26M,169.55K
73.46M,169.99K
73.66M,170.43K
74.20M,171.67K
74.40M,172.11K
74.60M,172.56K
74.81M,173.00K
75.01M,173.45K
80.07M,175.91K
80.29M,176.36K
80.51M,176.81K
80.73M,177.26K
80.94M,177.71K
81.31M,178.68K
81.53M,179.14K
81.75M,179.59K
81.97M,180.05K
82.19M,180.50K
82.73M,182.14K
82.96M,182.60K
85.93M,184.89K
86.16M,185.36K
86.39M,185.82K
86.77M,186.83K
87.00M,187.29K
87.23M,187.77K
87.47M,188.24K
87.70M,188.71K
100.04M,200.17K
100.31M,200.67K
100.57M,201.17K
100.84M,201.67K
101.10M,202.17K
101.54M,203.25K
101.81M,203.75K
102.08M,204.26K
102.35M,204.76K
102.62M,205.27K
106.89M,208.11K
107.17M,208.62K
107.45M,209.14K
107.73M,209.65K
108.01M,210.17K
108.48M,211.27K
108.76M,211.79K
109.04M,212.31K
109.33M,212.83K
109.61M,213.35K
110.31M,215.21K
110.60M,215.73K
110.88M,216.26K
111.17M,216.78K
111.45M,217.31K
112.21M,218.80K
112.50M,219.33K
112.79M,219.86K
113.08M,220.39K
113.37M,220.92K
118.48M,225.05K
118.78M,225.59K
119.09M,226.14K
119.39M,226.68K
132.86M,227.22K
133.42M,228.39K
133.76M,228.94K
134.10M,229.49K
134.44M,230.03K
134.78M,230.58K
143.76M,233.71K
144.12M,234.27K
144.49M,234.82K
144.85M,235.38K
145.22M,235.94K
145.82M,237.14K
151.86M,240.08K
152.24M,240.65K
152.62M,241.21K
153.01M,241.78K
154.81M,244.77K
155.20M,245.35K
155.59M,245.92K
155.97M,246.50K
156.36M,247.08K
157.00M,248.32K
161.18M,251.39K
161.58M,251.98K
161.98M,252.57K
162.38M,253.15K
163.37M,255.27K
163.77M,255.86K
164.17M,256.45K
164.58M,257.05K
170.31M,260.22K
171.00M,261.51K
171.42M,262.12K
171.84M,262.72K
172.26M,263.33K
172.68M,263.94K
179.80M,267.45K
180.24M,268.06K
180.68M,268.68K
181.12M,269.29K
181.56M,269.91K
182.71M,271.66K
183.15M,272.29K
183.60M,272.91K
184.04M,273.53K
184.49M,274.15K
185.58M,276.39K
186.03M,277.02K
186.48M,277.65K
186.93M,278.28K
187.38M,278.91K
188.12M,280.27K
188.57M,280.90K
189.02M,281.54K
189.47M,282.17K
189.93M,282.81K
191.05M,285.10K
191.50M,285.74K
191.96M,286.38K
192.42M,287.02K
192.87M,287.66K
193.63M,289.05K
194.09M,289.70K
194.55M,290.34K
195.01M,290.99K
195.47M,291.64K
250.13M,308.49K
250.72M,309.17K
251.31M,309.86K
251.90M,310.55K
252.49M,311.24K
253.47M,312.71K
254.06M,313.41K
254.66M,314.10K
255.25M,314.79K
255.85M,315.48K
285.62M,317.98K
286.28M,318.68K
286.95M,319.38K
298.46M,323.28K
299.15M,323.98K
300.29M,325.51K
300.99M,326.22K
301.68M,326.93K
302.38M,327.65K
303.08M,328.36K
304.79M,330.93K
305.50M,331.65K
306.20M,332.37K
306.91M,333.09K
307.61M,333.82K
309.45M,335.87K
310.16M,336.60K
310.88M,337.33K
311.59M,338.05K
312.30M,338.78K
325.04M,343.12K
325.78M,343.86K
326.53M,344.59K
327.27M,345.33K
328.01M,346.07K
329.24M,347.67K
340.46M,351.90K
341.24M,352.65K
342.01M,353.40K
342.78M,354.16K
357.72M,360.45K
358.53M,361.22K
359.33M,361.98K
360.14M,362.75K
360.96M,363.52K
362.29M,365.19K
363.10M,365.96K
363.92M,366.73K
364.73M,367.51K
365.55M,368.28K
369.39M,372.40K
370.21M,373.18K
371.04M,373.97K
371.87M,374.75K
372.70M,375.54K
374.06M,377.24K
374.89M,378.03K
375.72M,378.82K
376.56M,379.61K
377.39M,380.40K
401.99M,385.19K
402.88M,385.99K
403.77M,386.79K
414.21M,391.47K
469.09M,404.05K
470.78M,405.87K
471.82M,406.71K
472.85M,407.55K
473.89M,408.39K
474.93M,409.24K
477.48M,412.30K
478.52M,413.15K
479.57M,414.00K
533.48M,414.85K
534.65M,415.70K
537.69M,418.15K
538.86M,419.00K
540.03M,419.86K
541.21M,420.72K
542.38M,421.58K
545.26M,424.70K
546.45M,425.57K
547.63M,426.44K
548.81M,427.31K
550.00M,428.18K
551.95M,430.06K
553.14M,430.93K
554.33M,431.81K
555.53M,432.68K
556.72M,433.56K
579.25M,438.93K
580.49M,439.81K
581.73M,440.70K
582.98M,441.59K
584.23M,442.48K
586.29M,444.41K
688.56M,463.25K
690.03M,464.18K
691.50M,465.11K
692.97M,466.04K
742.10M,482.95K
743.68M,483.91K
745.25M,484.88K
746.83M,485.85K
748.41M,486.82K
751.01M,488.91K
752.60M,489.89K
754.19M,490.86K
779.37M,496.76K
781.01M,497.74K
785.01M,501.31K
786.67M,502.31K
788.32M,503.30K
789.97M,504.30K
791.63M,505.29K
794.35M,507.45K
796.01M,508.45K
797.67M,509.45K
799.34M,510.45K
801.01M,511.46K
852.75M,517.67K
854.53M,518.69K
856.31M,519.70K
858.09M,520.72K
988.85M,547.82K
994.18M,550.89K
996.24M,551.97K
998.31M,553.04K
1.00B,554.12K
1.00B,555.20K
1.01B,559.12K
1.01B,560.20K
1.01B,561.29K
1.01B,562.38K
1.05B,569.10K
1.06B,571.49K
1.06B,572.59K
1.06B,573.70K
1.06B,574.81K
1.07B,575.91K
1.07B,579.94K
1.07B,581.06K
1.08B,582.18K
1.08B,583.29K
1.08B,584.41K
1.08B,586.84K
1.09B,587.97K
1.09B,589.09K
1.09B,590.22K
1.09B,591.34K
1.14B,600.35K
1.14B,601.50K
1.15B,602.64K
1.15B,603.79K
1.15B,604.94K
1.15B,607.43K
1.16B,608.58K
1.16B,609.73K
1.16B,610.89K
1.16B,612.04K
1.17B,616.25K
1.17B,617.41K
1.17B,618.57K
1.18B,619.74K
1.18B,620.91K
1.18B,623.44K
1.18B,624.61K
1.19B,625.79K
1.19B,626.96K
1.19B,628.13K
1.23B,638.74K
1.23B,639.94K
1.23B,641.13K
1.23B,642.33K
1.24B,643.53K
1.24B,646.98K
1.24B,648.18K
1.25B,649.39K
1.25B,650.59K
1.30B,658.32K
1.42B,672.74K
1.43B,673.99K
1.43B,675.24K
1.43B,676.49K
1.43B,677.74K
1.44B,680.46K
1.44B,681.71K
1.44B,682.97K
1.45B,684.23K
1.45B,685.48K
1.46B,690.08K
1.46B,691.35K
1.62B,692.62K
1.63B,693.89K
1.63B,695.16K
1.64B,697.93K
1.64B,699.20K
1.64B,700.48K
1.64B,701.76K
1.65B,703.03K
1.70B,711.42K
1.71B,712.71K
1.71B,714.01K
1.71B,715.30K
1.72B,716.60K
1.72B,719.42K
1.72B,720.73K
1.73B,722.03K
1.73B,723.34K
1.73B,724.64K
1.80B,733.06K
1.81B,734.38K
2.01B,735.70K
2.01B,737.03K
2.02B,738.35K
2.02B,741.24K
2.03B,742.57K
2.03B,743.90K
2.04B,745.24K
2.04B,746.57K
2.05B,751.45K
2.05B,752.79K
2.06B,754.13K
2.06B,755.48K
2.06B,756.82K
2.07B,760.71K
2.08B,762.07K
2.08B,763.42K
2.16B,772.42K
2.17B,773.80K
2.18B,778.81K
2.18B,780.19K
2.18B,781.57K
2.19B,782.95K
2.19B,784.33K
2.20B,787.35K
2.20B,788.74K
2.21B,790.13K
2.21B,791.52K
2.22B,792.91K
2.36B,802.00K
2.36B,803.41K
2.37B,804.82K
2.37B,806.23K
2.37B,807.64K
2.38B,810.72K
2.39B,812.14K
2.39B,813.56K
2.40B,814.98K
2.40B,816.40K
2.42B,824.06K
2.43B,825.49K
2.50B,835.19K
2.51B,836.65K
2.51B,838.10K
2.52B,841.27K
2.53B,842.73K
2.53B,844.18K
2.53B,845.64K
2.54B,847.11K
2.55B,852.46K
2.56B,853.94K
2.65B,863.96K
2.66B,865.45K
2.66B,866.94K
2.67B,870.19K
2.67B,871.69K
2.68B,873.19K
2.68B,874.68K
2.69B,876.18K
2.80B,886.09K
2.80B,887.61K
2.81B,889.13K
2.81B,890.64K
2.82B,892.16K
2.83B,896.57K
2.83B,898.10K
2.91B,908.62K
2.91B,910.17K
2.92B,911.71K
2.93B,917.39K
2.93B,918.95K
2.94B,920.51K
2.94B,922.07K
2.95B,923.63K
2.96B,927.04K
2.96B,928.61K
2.97B,930.17K
2.97B,931.74K
2.98B,933.31K
2.99B,939.09K
3.00B,940.67K
3.00B,942.25K
3.01B,943.83K
3.01B,945.41K
3.02B,948.88K
3.03B,950.47K
3.03B,952.06K
3.04B,953.65K
3.04B,955.25K
3.65B,1.01M
3.65B,1.01M
3.66B,1.02M
3.67B,1.02M
3.67B,1.02M
4.16B,1.05M
4.17B,1.06M
4.18B,1.06M
4.18B,1.06M
4.19B,1.06M
4.21B,1.07M
4.22B,1.07M
4.23B,1.07M
4.23B,1.07M
4.24B,1.07M
4.25B,1.08M
4.26B,1.08M
4.27B,1.08M
4.27B,1.08M
4.28B,1.08M
4.30B,1.09M
4.31B,1.09M
4.47B,1.11M
4.48B,1.11M
4.62B,1.12M
4.64B,1.13M
4.65B,1.13M
4.66B,1.13M
4.67B,1.13M
4.67B,1.13M
4.86B,1.15M
4.87B,1.15M
4.88B,1.15M
4.88B,1.15M
4.89B,1.15M
4.91B,1.16M
4.91B,1.16M
4.92B,1.16M
4.93B,1.16M
4.94B,1.16M
4.96B,1.17M
4.97B,1.17M
4.98B,1.18M
4.99B,1.18M
4.99B,1.18M
5.19B,1.20M
5.20B,1.20M
5.21B,1.20M
5.21B,1.20M
5.22B,1.20M
5.26B,1.21M
5.85B,1.22M
5.86B,1.22M
5.87B,1.22M
5.88B,1.22M
5.90B,1.23M
5.91B,1.23M
5.92B,1.23M
5.93B,1.23M
5.94B,1.23M
6.31B,1.25M
6.32B,1.25M
6.34B,1.25M
6.35B,1.25M
6.36B,1.25M
6.37B,1.26M
6.38B,1.26M
6.40B,1.26M
6.41B,1.27M
6.42B,1.27M
6.44B,1.27M
6.45B,1.28M
6.46B,1.28M
6.48B,1.28M
7.20B,1.28M
7.23B,1.29M
7.24B,1.29M
7.26B,1.29M
7.27B,1.29M
7.28B,1.30M
7.31B,1.30M
7.32B,1.31M
7.33B,1.31M
7.35B,1.31M
7.53B,1.33M
7.55B,1.33M
7.56B,1.33M
7.57B,1.33M
7.58B,1.34M
7.60B,1.34M
7.89B,1.35M
7.91B,1.35M
7.92B,1.36M
7.93B,1.36M
7.95B,1.36M
7.97B,1.37M
8.22B,1.38M
8.23B,1.38M
8.25B,1.39M
8.26B,1.39M
8.52B,1.40M
8.53B,1.40M
8.54B,1.41M
8.56B,1.41M
8.57B,1.41M
8.60B,1.42M
8.61B,1.42M
8.62B,1.42M
8.64B,1.42M
8.65B,1.42M
8.69B,1.43M
8.70B,1.43M
8.71B,1.44M
8.73B,1.44M
8.74B,1.44M
8.77B,1.45M
9.09B,1.46M
9.11B,1.46M
9.12B,1.47M
9.14B,1.47M
9.71B,1.48M
9.72B,1.49M
9.74B,1.49M
9.76B,1.49M
9.77B,1.49M
9.81B,1.50M
9.83B,1.50M
9.84B,1.50M
11.53B,1.57M
11.55B,1.57M
11.60B,1.58M
11.62B,1.58M
11.64B,1.58M
11.65B,1.59M
11.67B,1.59M
11.70B,1.59M
11.72B,1.60M
11.74B,1.60M
11.76B,1.60M
11.78B,1.60M
11.82B,1.61M
11.84B,1.61M
11.86B,1.62M
11.88B,1.62M
11.90B,1.62M
11.93B,1.63M
11.95B,1.63M
11.97B,1.63M
11.99B,1.63M
12.00B,1.64M
12.52B,1.66M
12.54B,1.66M
12.56B,1.66M
12.58B,1.67M
12.60B,1.67M
12.63B,1.67M
12.65B,1.68M
12.67B,1.68M
12.69B,1.68M
12.71B,1.68M
12.76B,1.69M
12.78B,1.69M
12.80B,1.70M
12.82B,1.70M
12.84B,1.70M
12.87B,1.71M
12.89B,1.71M
12.91B,1.71M
13.31B,1.73M
13.33B,1.74M
13.38B,1.74M
13.41B,1.75M
13.43B,1.75M
13.45B,1.75M
13.47B,1.75M
13.52B,1.76M
13.54B,1.76M
13.56B,1.77M
13.59B,1.77M
13.61B,1.77M
14.45B,1.79M
14.48B,1.79M
14.50B,1.80M
14.52B,1.80M
14.54B,1.80M
14.58B,1.81M
14.60B,1.81M
14.63B,1.81M
14.65B,1.81M
14.67B,1.82M
16.35B,1.83M
16.74B,1.85M
16.76B,1.85M
16.79B,1.85M
16.82B,1.86M
16.86B,1.86M
16.88B,1.86M
16.91B,1.87M
16.94B,1.87M
16.96B,1.87M
18.07B,1.93M
18.09B,1.94M
18.12B,1.94M
18.15B,1.94M
18.18B,1.94M
18.22B,1.95M
18.25B,1.95M
18.28B,1.96M
18.30B,1.96M
18.33B,1.96M
19.72B,2.00M
20.44B,2.02M
20.47B,2.03M
20.50B,2.03M
20.53B,2.03M
20.58B,2.04M
20.61B,2.04M
20.64B,2.04M
20.67B,2.05M
20.70B,2.05M
20.78B,2.06M
20.81B,2.06M
20.84B,2.07M
20.87B,2.07M
20.90B,2.07M
20.98B,2.08M
21.02B,2.08M
21.05B,2.09M
21.08B,2.09M
21.11B,2.09M
21.19B,2.10M
21.22B,2.11M
21.25B,2.11M
21.28B,2.11M
21.31B,2.12M
21.36B,2.12M
21.40B,2.12M
21.43B,2.13M
21.46B,2.13M
21.49B,2.13M
23.50B,2.18M
23.53B,2.18M
23.56B,2.18M
23.60B,2.19M
23.63B,2.19M
23.69B,2.20M
26.81B,2.27M
26.85B,2.27M
26.89B,2.27M
26.93B,2.27M
27.12B,2.29M
27.15B,2.29M
27.19B,2.30M
27.23B,2.30M
27.27B,2.30M
27.34B,2.31M
30.39B,2.31M
30.44B,2.32M
30.48B,2.32M
30.52B,2.32M
30.63B,2.34M
30.68B,2.34M
